Cell Type	TF/DNase/HistoneMark	Treatment	File accession	AUC	AUPRC	AUPRC Baseline
GM12878	E2F4	None	wgEncodeAwgTfbsSydhGm12878E2f4IggmusUniPk.narrowPeak	0,970666767471248	0,193527196469686	0,00168782305988256
GM12878	EBF1	None	wgEncodeAwgTfbsSydhGm12878Ebf1sc137065UniPk.narrowPeak	0,892538354037336	0,187258735198578	0,0182935405604979
GM12878	ELK1	None	wgEncodeAwgTfbsSydhGm12878Elk112771IggmusUniPk.narrowPeak	0,96566401741429	0,402978198015413	0,00318664510003868
GM12878	IKZF1	None	wgEncodeAwgTfbsSydhGm12878Ikzf1iknuclaUniPk.narrowPeak	0,923745016417837	0,133470687833062	0,00845230141706811
GM12878	JunD	None	wgEncodeAwgTfbsSydhGm12878JundUniPk.narrowPeak	0,966194551956231	0,101688540531483	0,00145926368719013
GM12878	Max	None	wgEncodeAwgTfbsSydhGm12878MaxIggmusUniPk.narrowPeak	0,957453007884974	0,341955612760209	0,00905007208410985
GM12878	MAZ	None	wgEncodeAwgTfbsSydhGm12878Mazab85725IggmusUniPk.narrowPeak	0,951987599138176	0,405934062514575	0,013669608636028
GM12878	Mxi1	None	wgEncodeAwgTfbsSydhGm12878Mxi1IggmusUniPk.narrowPeak	0,93928148298424	0,337918551440761	0,0133311649495411
GM12878	NF-E2	None	wgEncodeAwgTfbsSydhGm12878Nfe2sc22827UniPk.narrowPeak	0,985723035431423	0,330850710921818	0,000303280706072647
GM12878	NFKB	TNFa	wgEncodeAwgTfbsSydhGm12878NfkbTnfaIggrabUniPk.narrowPeak	0,939836518588586	0,217027868295366	0,0108477794577868
GM12878	NF-YA	None	wgEncodeAwgTfbsSydhGm12878NfyaIggmusUniPk.narrowPeak	0,987151504055791	0,398974680995133	0,000703259608284398
GM12878	NF-YB	None	wgEncodeAwgTfbsSydhGm12878NfybIggmusUniPk.narrowPeak	0,953241063592297	0,410596403567892	0,00805232251485636
GM12878	Nrf1	None	wgEncodeAwgTfbsSydhGm12878Nrf1IggmusUniPk.narrowPeak	0,98796185726582	0,451448502468056	0,00230757058968318
GM12878	p300	None	wgEncodeAwgTfbsSydhGm12878P300bUniPk.narrowPeak	0,959971102637128	0,149609040343335	0,00429427898308661
GM12878	p300	None	wgEncodeAwgTfbsSydhGm12878P300IggmusUniPk.narrowPeak	0,931861710812204	0,205675366018642	0,0119949716938008
GM12878	Pol2	None	wgEncodeAwgTfbsSydhGm12878Pol2IggmusUniPk.narrowPeak	0,919500854328771	0,383177382580485	0,014025633812722
GM12878	Pol2(phosphoS2)	None	wgEncodeAwgTfbsSydhGm12878Pol2s2IggmusUniPk.narrowPeak	0,924078021044696	0,339750602860347	7,79E-03
GM12878	Pol2	None	wgEncodeAwgTfbsSydhGm12878Pol2UniPk.narrowPeak	0,968130960066949	0,402743555161129	0,00587221772917473
GM12878	Pol3	None	wgEncodeAwgTfbsSydhGm12878Pol3UniPk.narrowPeak	0,942061887389565	9,53E-05	8,79E-06
GM12878	Rad21	None	wgEncodeAwgTfbsSydhGm12878Rad21IggrabUniPk.narrowPeak	0,979247992863631	0,594131751846332	0,0149442666760435
GM12878	RFX5	None	wgEncodeAwgTfbsSydhGm12878Rfx5200401194IggmusUniPk.narrowPeak	0,921216658726512	0,206993498532308	0,00230757058968318
GM12878	SIN3A	None	wgEncodeAwgTfbsSydhGm12878Sin3anb6001263IggmusUniPk.narrowPeak	0,950010503954908	0,327204314357907	0,00885667569183164
GM12878	SMC3	None	wgEncodeAwgTfbsSydhGm12878Smc3ab9263IggmusUniPk.narrowPeak	0,977133874065719	0,66668762540202	0,0152343612644608
GM12878	STAT1	None	wgEncodeAwgTfbsSydhGm12878Stat1UniPk.narrowPeak	0,925506336863307	0,059292707645545	0,00148124054994901
GM12878	STAT3	None	wgEncodeAwgTfbsSydhGm12878Stat3IggmusUniPk.narrowPeak	0,911616503215553	0,0864685138724471	0,00497116635606034
GM12878	TBLR1	None	wgEncodeAwgTfbsSydhGm12878Tblr1ab24550IggmusUniPk.narrowPeak	0,927338626483694	0,18341854252508	0,01011375224164
GM12878	TBP	None	wgEncodeAwgTfbsSydhGm12878TbpIggmusUniPk.narrowPeak	0,911404452700031	0,219664102178119	0,00934895741763072
GM12878	TR4	None	wgEncodeAwgTfbsSydhGm12878Tr4UniPk.narrowPeak	0,962338053514905	0,145025285023237	0,000905446745666163
GM12878	USF2	None	wgEncodeAwgTfbsSydhGm12878Usf2IggmusUniPk.narrowPeak	0,973089523337799	0,323532525500068	0,00425472063012061
GM12878	WHIP	None	wgEncodeAwgTfbsSydhGm12878WhipIggmusUniPk.narrowPeak	0,871817324567978	0,100477456019975	0,00960828439818559
GM12878	YY1	None	wgEncodeAwgTfbsSydhGm12878Yy1UniPk.narrowPeak	0,926697194519293	0,0712880971861088	0,00143289145187946
GM12878	Znf143	None	wgEncodeAwgTfbsSydhGm12878Znf143166181apUniPk.narrowPeak	0,982639768606806	0,616354426167426	0,00988958824149935
GM12878	ZNF274	None	wgEncodeAwgTfbsSydhGm12878Znf274UniPk.narrowPeak	0,706886446641259	0,00188549403323865	0,000224164000140652
GM12878	ZZZ3	None	wgEncodeAwgTfbsSydhGm12878Zzz3UniPk.narrowPeak	0,908275757340917	0,0339956414697145	0,000470304863040191
GM12891	NFKB	TNFa	wgEncodeAwgTfbsSydhGm12891NfkbTnfaIggrabUniPk.narrowPeak	0,938215770339916	0,297770793019889	0,0184473785998101
GM12891	Pol2	None	wgEncodeAwgTfbsSydhGm12891Pol2IggmusUniPk.narrowPeak	0,924227214207984	0,37129123255922	0,01374872534196
GM12892	NFKB	TNFa	wgEncodeAwgTfbsSydhGm12892NfkbTnfaIggrabUniPk.narrowPeak	0,956232540279764	0,168109955800596	0,00536674988572031
GM12892	Pol2	None	wgEncodeAwgTfbsSydhGm12892Pol2IggmusUniPk.narrowPeak	0,948067411318178	0,480330622560916	0,0134630261260944
GM15510	NFKB	TNFa	wgEncodeAwgTfbsSydhGm15510NfkbTnfaIggrabUniPk.narrowPeak	0,948288218122504	0,263177369018285	0,0087467913780372
GM15510	Pol2	None	wgEncodeAwgTfbsSydhGm15510Pol2IggmusUniPk.narrowPeak	0,974398293610622	0,592757056332352	0,0108521748303386
GM18505	NFKB	TNFa	wgEncodeAwgTfbsSydhGm18505NfkbTnfaIggrabUniPk.narrowPeak	0,943585332489205	0,156282573491505	0,00616231231759204
GM18505	Pol2	None	wgEncodeAwgTfbsSydhGm18505Pol2IggmusUniPk.narrowPeak	0,93632009049732	0,440310599205463	0,0147332887935581
GM18526	NFKB	TNFa	wgEncodeAwgTfbsSydhGm18526NfkbTnfaIggrabUniPk.narrowPeak	0,958548138826987	0,0749056146481582	0,00180649811878055
